Timestamp,Robot1_Y,Robot2_Y,Robot3_Y
"builtin_interfaces.msg.Time(sec=1720262964, nanosec=580743113)",-3.4999999297129536,-10.49999993090141,-12.49999993515899
"builtin_interfaces.msg.Time(sec=1720262965, nanosec=581016089)",-3.499999928341162,-5.499999929539495,-12.499999933589102
"builtin_interfaces.msg.Time(sec=1720262966, nanosec=580849490)",-3.499999927701041,-10.499999928899316,-7.499999932983566
"builtin_interfaces.msg.Time(sec=1720262967, nanosec=580657776)",-3.4999999277010247,-10.499999928899276,-12.499999932983503
"builtin_interfaces.msg.Time(sec=1720262968, nanosec=580710168)",-3.4999999277010074,-10.499999928899213,-12.49999993298345
"builtin_interfaces.msg.Time(sec=1720262969, nanosec=580726168)",-3.4999999277009897,-10.49999992889916,-12.499999932983396
"builtin_interfaces.msg.Time(sec=1720262970, nanosec=581470617)",-3.4999999277009732,-10.499999928899108,-7.499999932983357
"builtin_interfaces.msg.Time(sec=1720262971, nanosec=580788850)",-3.499999927700956,-10.499999928899056,-12.499999932983293
"builtin_interfaces.msg.Time(sec=1720262972, nanosec=580707237)",-3.4999999277009395,-10.499999928899005,-7.499999932983253
"builtin_interfaces.msg.Time(sec=1720262973, nanosec=580788949)",-3.499999927700922,-10.499999928898966,-12.49999993298319
"builtin_interfaces.msg.Time(sec=1720262974, nanosec=580833449)",-3.4999999277009044,-10.4999999288989,-12.499999932983137
"builtin_interfaces.msg.Time(sec=1720262975, nanosec=580731837)",-3.499999927700888,-10.499999928898848,-12.499999932983087
"builtin_interfaces.msg.Time(sec=1720262976, nanosec=580806517)",-3.4999999277008706,-5.499999928898808,-12.499999932983034
"builtin_interfaces.msg.Time(sec=1720262977, nanosec=580719994)",-3.4999999277008533,-10.499999928898745,-12.49999993298298
"builtin_interfaces.msg.Time(sec=1720262978, nanosec=580862960)",-3.4999999277008365,-10.499999928898692,-7.499999932982941
"builtin_interfaces.msg.Time(sec=1720262979, nanosec=580727329)",-3.499999927700819,-10.499999928898653,-12.499999932982877
"builtin_interfaces.msg.Time(sec=1720262980, nanosec=580860058)",-3.499999927700802,-10.499999928898589,-12.499999932982824
"builtin_interfaces.msg.Time(sec=1720262981, nanosec=580695368)",-3.4999999277007845,-10.499999928898536,-12.499999932982771
"builtin_interfaces.msg.Time(sec=1720262982, nanosec=580800994)",-3.499999927700768,-5.499999928898496,-12.499999932982721
"builtin_interfaces.msg.Time(sec=1720262983, nanosec=580799387)",-3.4999999277007503,-10.499999928898433,-7.499999932982682
"builtin_interfaces.msg.Time(sec=1720262984, nanosec=580754406)",-3.499999927700734,-10.49999992889838,-7.499999932982629
"builtin_interfaces.msg.Time(sec=1720262985, nanosec=580689750)",-3.4999999277007166,-10.49999992889834,-12.499999932982565
"builtin_interfaces.msg.Time(sec=1720262986, nanosec=580730514)",-3.4999999277006992,-10.499999928898276,-12.499999932982512
"builtin_interfaces.msg.Time(sec=1720262987, nanosec=580628549)",-3.499999927458901,-10.499999928600507,-12.49999993271929
"builtin_interfaces.msg.Time(sec=1720262988, nanosec=580678801)",-3.499999925707578,-10.499999927033919,-7.499999931139536
"builtin_interfaces.msg.Time(sec=1720262989, nanosec=580730126)",-3.4999999243357864,-10.49999992521338,-12.499999929548338
"builtin_interfaces.msg.Time(sec=1720262990, nanosec=580901876)",-3.499999922843312,-10.499999923976059,-12.499999928098774
"builtin_interfaces.msg.Time(sec=1720262991, nanosec=580746522)",-3.49999992137863,-10.499999922724445,-12.499999926828297
"builtin_interfaces.msg.Time(sec=1720262992, nanosec=581267969)",-3.4999999202984124,-10.49999992121808,-12.499999925564275
"builtin_interfaces.msg.Time(sec=1720262993, nanosec=580759480)",-3.4999999190532685,-10.499999920159897,-12.49999992428695
"builtin_interfaces.msg.Time(sec=1720262994, nanosec=581108078)",-3.4999999177441294,-10.49999991889899,-7.499999923025765
"builtin_interfaces.msg.Time(sec=1720262995, nanosec=580712993)",-3.4999999164987514,-10.49999991739623,-12.499999921748252
"builtin_interfaces.msg.Time(sec=1720262996, nanosec=580936853)",-3.4999999149701853,-10.49999991631601,-12.499999920419867
"builtin_interfaces.msg.Time(sec=1720262997, nanosec=580667154)",-3.4999999138899636,-10.499999914809644,-12.499999919155842
"builtin_interfaces.msg.Time(sec=1720262998, nanosec=580815084)",-3.4999999126448187,-5.499999913761726,-12.499999917900633
"builtin_interfaces.msg.Time(sec=1720262999, nanosec=580728725)",-3.499999911335684,-10.49999991246844,-12.499999916601137
"builtin_interfaces.msg.Time(sec=1720263000, nanosec=580696221)",-3.4999999100264305,-10.499999911191058,-7.499999915308054
"builtin_interfaces.msg.Time(sec=1720263001, nanosec=580792273)",-3.4999999085617475,-10.49999990990756,-12.499999914011426
"builtin_interfaces.msg.Time(sec=1720263002, nanosec=580859931)",-3.499999907481528,-10.499999908401193,-12.499999912747395
"builtin_interfaces.msg.Time(sec=1720263003, nanosec=580676369)",-3.4999999061531413,-10.499999907320978,-12.499999911438046
"builtin_interfaces.msg.Time(sec=1720263004, nanosec=580734732)",-3.4999999049272486,-10.499999906059994,-12.499999910192676
"builtin_interfaces.msg.Time(sec=1720263005, nanosec=580777218)",-3.4999999035462666,-10.499999904695688,-7.499999908827861
"builtin_interfaces.msg.Time(sec=1720263006, nanosec=580714186)",-3.4999999017949435,-10.499999903092974,-7.49999990722671
"builtin_interfaces.msg.Time(sec=1720263007, nanosec=580704970)",-3.4999999004231523,-10.499999901560944,-12.499999905683222
